OID_,World Port Index Number,Region Name,Main Port Name,Alternate Port Name,UN/LOCODE,Country Code,World Water Body,IHO S-130 Sea Area,Sailing Direction or Publication,Publication Link,Standard Nautical Chart,IHO S-57 Electronic Navigational Chart,IHO S-101 Electronic Navigational Chart,Digital Nautical Chart,Tidal Range (m),Entrance Width (m),Channel Depth (m),Anchorage Depth (m),Cargo Pier Depth (m),Oil Terminal Depth (m),Liquified Natural Gas Terminal Depth (m),Maximum Vessel Length (m),Maximum Vessel Beam (m),Maximum Vessel Draft (m),Offshore Maximum Vessel Length (m),Offshore Maximum Vessel Beam (m),Offshore Maximum Vessel Draft (m),Harbor Size,Harbor Type,Latitude,Longitude
3025,47850,Djibouti -- 47840,Djibouti,Jibuti,DJ JIB,Djibouti,Gulf of Aden; Indian Ocean, ,Sailing Directions Pub. 172 (Enroute) - Red Sea and the Persian Gulf,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub172bk.pdf&type=view,62095, , ,"a1047850, coa10i, gen10c, h1047850",2.8,0,17.1,20,12,20,0,270,0,18,0,0,0,Small,Coastal (Natural),11.6,43.133333
3026,48210,Yemen Sanaa -- 48195,Al Mukalla,Khalf Harbor; Mukalla,YE ZAM,Yemen,Gulf of Aden; Indian Ocean, ,Sailing Directions Pub. 172 (Enroute) - Red Sea and the Persian Gulf,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub172bk.pdf&type=view,62302, , ,"coa10i, gen10a, h1048210",1,105,10,31,9.1,23.2,0,184.7,29.4,8.5,170.1,0,0,Small,Coastal (Breakwater),14.516667,49.116667
3027,22295,Norway -- 20620,Lakselv, ,NO LVG,Norway,Norwegian Sea; North Atlantic Ocean, ,Sailing Directions Pub. 182 (Enroute) - North and West Coasts of Norway,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub182bk.pdf&type=view,"43150, 43160", , ,"coa22h, gen22c",0,0,11,0,3.4,0,0,0,0,0,0,0,0,Small,Coastal (Natural),67.35777778,15.59222222
3028,21970,Norway -- 20620,Ulvik, ,NO UVK,Norway,Norwegian Sea; North Atlantic Ocean, ,Sailing Directions Pub. 182 (Enroute) - North and West Coasts of Norway,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub182bk.pdf&type=view,"43143, 43145", , ,"a2221610, coa22h, gen22c",0,0,0,23.2,0,0,0,0,0,0,0,0,0,Very Small,River (Natural),68.56083333,16.23388889
3029,23112,Norway -- 20620,Hareid, ,NO HRI,Norway,Norwegian Sea; North Atlantic Ocean, ,Sailing Directions Pub. 182 (Enroute) - North and West Coasts of Norway,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub182bk.pdf&type=view,43280, , ,"a2123116, coa21g, gen21a",0,0,0,4.9,4.9,0,0,150,0,8.7,0,0,0,Very Small,Coastal (Breakwater),62.37222222,6.035555556
3030,48230,Oman -- 48225,Mina Raysut,Port Raysut; Salalah,OM SLL,Oman,Arabian Sea; Indian Ocean, ,Sailing Directions Pub. 172 (Enroute) - Red Sea and the Persian Gulf,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub172bk.pdf&type=view,62315, , ,"a1048230, coa10k, gen10a, h1048230",2,577,18.5,23,18,11,0,400,61.5,17.5,0,0,0,Small,Coastal (Breakwater),16.95111111,54.02916667
3031,48216,Yemen Sanaa -- 48195,Balhaf, ,YE BLH,Yemen,Gulf of Aden; Indian Ocean, ,Sailing Directions Pub. 172 (Enroute) - Red Sea and the Persian Gulf,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub172bk.pdf&type=view,62302, , ,"coa10i, gen10a, h1048216",1.5,0,0,6.4,8.5,0,0,140,0,0,0,0,0,Very Small,Open Roadstead,13.966667,48.183333
3032,48202,Yemen Sanaa -- 48195,Ash Shihr Oil Terminal, ,YE ASR,Yemen,Gulf of Aden; Indian Ocean, ,Sailing Directions Pub. 172 (Enroute) - Red Sea and the Persian Gulf,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub172bk.pdf&type=view,809179, , ,"coa10i, gen10a",2,0,0,13,0,45,0,0,0,0,336.2,0,24,Very Small,Coastal (Natural),14.7,49.48333333
3033,48198,Yemen Sanaa -- 48195,Nishtun, ,YE NIS,Yemen,Arabian Sea; Indian Ocean, ,Sailing Directions Pub. 172 (Enroute) - Red Sea and the Persian Gulf,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub172bk.pdf&type=view,62310, , ,"coa10k, gen10a",1.3,0,0,9.4,5.5,0,0,110,17.5,5,0,0,0,Very Small,Coastal (Natural),15.816667,52.2
3034,23340,Norway -- 20620,Leirvik, ,NO LRI,Norway,North Sea; North Atlantic Ocean, ,Sailing Directions Pub. 182 (Enroute) - North and West Coasts of Norway,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub182bk.pdf&type=view, , , ,"a2123330, coa21f, gen21a",1,0,0,23.2,4.9,1.8,0,0,0,0,0,0,5,Very Small,Coastal (Natural),59.75833333,5.496666667
3035,23160,Norway -- 20620,Bergen, ,NO BGO,Norway,North Sea; North Atlantic Ocean, ,Sailing Directions Pub. 182 (Enroute) - North and West Coasts of Norway,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub182bk.pdf&type=view,43322, , ,"a2123160, coa21f, gen21a, h2123160",1,0,23.2,7.9,11,6.4,0,0,0,12,0,0,0,Medium,Coastal (Natural),60.40277778,5.298611111
3036,1989,Canada St Lawrence R -- 1930,Cap des Mechins, , ,Canada,Gulf of Saint Lawrence; North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view,14217, , ,"coa18c, gen18b",0,0,0,0,0,0,0,0,0,0,0,0,0, , ,49,-66.98333333
3037,6290,Nova Scotia Cont -- 6070,Sheet Harbor, , ,Canada,North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view,14058, , ,"a1806280, coa18b, gen18b, h1806290",0,0,0,0,0,0,0,0,0,0,0,0,0, , ,44.9,-62.5
3038,1980,Canada St Lawrence R -- 1930,Godbout,Godbout Village; Godbout River, ,Canada,Gulf of Saint Lawrence; North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view,14217, , ,"coa18c, gen18b",0,0,0,0,0,0,0,0,0,0,0,0,0, , ,49.31666667,-67.6
3039,5702, ,Ile du Cap aux Meules,Grindstone Island, ,Canada,Gulf of Saint Lawrence; North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view,14143, , ,"coa18c, gen18b",0,0,0,0,0,0,0,0,0,0,0,0,0, , ,47.38333333,-61.91666667
3040,5542,South Side -- 5501,Newport (Canada), , ,Canada,Gulf of Saint Lawrence; North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view, , , ,"coa18c, gen18b",0,0,0,0,0,0,0,0,0,0,0,0,0, , ,48.26666667,-64.75
3041,1888,North Side -- 1871,Natashquan,Pointe de Natashquan, ,Canada,Gulf of Saint Lawrence; North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view,14252, , ,"a1801885, coa18c, gen18b",0,0,0,0,0,0,0,0,0,0,0,0,0, , ,50.08333333,-61.73333333
3042,5942,Cape Breton Island -- 5860,St Anns Harbour, , ,Canada,North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view, , , ,"a1805860, coa18b, gen18b, h1805942",0,0,0,0,0,0,0,0,0,0,0,0,0, , ,46.28333333,-60.55
3043,5890,Cape Breton Island -- 5860,Port Hood, , ,Canada,Gulf of Saint Lawrence; North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view,14000, , ,"a1805890, coa18c, gen18b, h1805890",0,0,0,0,0,0,0,0,0,0,0,0,0, , ,46,-61.55
3044,6401,Nova Scotia Cont -- 6070,Riverport, , ,Canada,North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view,14036, , ,"a1806390, coa18b, gen18b, h1806400",0,0,0,0,0,0,0,0,0,0,0,0,0, , ,44.3,-64.33333333
3045,6390,Nova Scotia Cont -- 6070,Lunenburg Harbour, , ,Canada,North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view,14036, , ,"a1806390, coa18b, gen18b, h1806390",0,0,0,0,0,0,0,0,0,0,0,0,0, , ,44.36666667,-64.3
3046,2100,Canada St Lawrence R -- 1930,Tadoussac, , ,Canada,Gulf of Saint Lawrence; North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view,14220, , ,"a1802180, gen18b",0,0,0,0,0,0,0,0,0,0,0,0,0, , ,48.15,-69.71666667
3047,5630,New Brunswick -- 5555,Miramichi, , ,Canada,Gulf of Saint Lawrence; North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view, , , ,"a1805640, coa18c, gen18b",0,0,0,0,0,0,0,0,0,0,0,0,0, , ,47.01666667,-65.5
3048,5930,Cape Breton Island -- 5860,Dingwall Harbor, , ,Canada,North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view, , , ,"a1805930, coa18d, gen18b",0,0,0,0,0,0,0,0,0,0,0,0,0, , ,46.9,-60.46666667
3049,5999,Cape Breton Island -- 5860,Crawley Creek, , ,Canada,North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view, , , ,"coa18b, gen18b, h1806000",0,0,0,0,0,0,0,0,0,0,0,0,0, , ,46.15,-60.22333333
3050,5704, ,Havre de la Grande Entree, , ,Canada,Gulf of Saint Lawrence; North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view,14143, , ,"coa18c, gen18b",0,0,0,0,0,0,0,0,0,0,0,0,0, , ,47.58333333,-61.58333333
3051,2155,Canada St Lawrence R -- 1930,La Malbaie,Murray Bay, ,Canada,Gulf of Saint Lawrence; North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view,14219, , ,a1802180,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,47.63333333,-70.13333333
3052,2145,Canada St Lawrence R -- 1930,Ile du Gros Cacouna,Le Gros Cacouna, ,Canada,Gulf of Saint Lawrence; North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view,14220, , ,"a1802180, h1802145",0,0,0,0,0,0,0,0,0,0,0,0,0, , ,47.93333333,-69.5
3053,5590,New Brunswick -- 5555,Bathurst Harbour, , ,Canada,Gulf of Saint Lawrence; North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view, , , ,"coa18c, gen18b, h1805590",0,0,0,0,0,0,0,0,0,0,0,0,0, , ,47.63333333,-65.63333333
3054,6460,Nova Scotia Cont -- 6070,Yarmouth Harbor (Canada), , ,Canada,North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view,"14001, 14019", , ,"a1806460, coa18b, gen18a, h1806460",0,0,0,0,0,0,0,0,0,0,0,0,0, , ,43.83333333,-66.11666667
3055,6420,Nova Scotia Cont -- 6070,Lockeport Harbor, , ,Canada,North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view,14001, , ,"a1806420, coa18b, gen18b, h1806420",0,0,0,0,0,0,0,0,0,0,0,0,0, , ,43.7,-65.11666667
3056,2080,Canada St Lawrence R -- 1930,Baie des Escoumins, , ,Canada,Gulf of Saint Lawrence; North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view,14220, , ,"a1802180, coa18c, gen18b, h1802080",0,0,0,0,0,0,0,0,0,0,0,0,0, , ,48.35082,-69.38917158
3057,5950,Cape Breton Island -- 5860,Baddeck Harbour, , ,Canada,North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view, , , ,"a1805860, coa18b, gen18b, h1805950",0,0,0,0,0,0,0,0,0,0,0,0,0, , ,46.1,-60.75
3058,6430,Nova Scotia Cont -- 6070,Shelburne Harbour, , ,Canada,North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view,14001, , ,"a1806430, coa18b, gen18a, h1806430",0,0,0,0,0,0,0,0,0,0,0,0,0, , ,43.75,-65.31666667
3059,2152,Canada St Lawrence R -- 1930,St Simeon, , ,Canada,Gulf of Saint Lawrence; North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view,14219, , ,a1802180,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,47.83333333,-69.86666667
3060,5700, ,Havre Aubert,Amherst Harbor, ,Canada,Gulf of Saint Lawrence; North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view,14143, , ,"coa18c, gen18b",0,0,0,0,0,0,0,0,0,0,0,0,0, , ,47.23333333,-61.83333333
3061,5780,Nova Scotia -- 5775,Pugwash Harbour, , ,Canada,Gulf of Saint Lawrence; North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view,14016, , ,"a1805705, coa18c, gen18b, h1805780",0,0,0,0,0,0,0,0,0,0,0,0,0, , ,45.85,-63.66666667
3062,1900,North Side -- 1871,Mingan Harbor, , ,Canada,Gulf of Saint Lawrence; North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view,14249, , ,"a1801900, coa18c, gen18b, h1801900",0,0,0,0,0,0,0,0,0,0,0,0,0, , ,50.28333333,-64.01666667
3063,2160,Canada St Lawrence R -- 1930,Portneuf, , ,Canada,Gulf of Saint Lawrence; North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view,14213, , ,a1802210,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,46.68333333,-71.88333333
3064,6044,Cape Breton Island -- 5860,Arichat Harbour, , ,Canada,North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view, , , ,"a1805860, coa18b, gen18b",0,0,0,0,0,0,0,0,0,0,0,0,0, , ,45.51666667,-61.01666667
3065,5585,New Brunswick -- 5555,Belledune Harbor, , ,Canada,Gulf of Saint Lawrence; North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view, , , ,"coa18c, gen18b",0,0,0,0,0,0,0,0,0,0,0,0,0, , ,47.9,-65.83333333
3066,1910, ,Port Menier, , ,Canada,Gulf of Saint Lawrence; North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view,14249, , ,"coa18c, gen18b",0,0,0,0,0,0,0,0,0,0,0,0,0, , ,49.81666667,-64.35
3067,2173,Canada St Lawrence R -- 1930,Pointe des Roches, , ,Canada,Gulf of Saint Lawrence; North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view,14218, , ,a1802180,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,47.41666667,-70.4
3068,5730,Prince Edward Island -- 5705,Souris Harbour, , ,Canada,Gulf of Saint Lawrence; North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view,14000, , ,"a1805705, coa18c, gen18b, h1805730",0,0,0,0,0,0,0,0,0,0,0,0,0, , ,46.35,-62.25
3069,5540,South Side -- 5501,Chandler, , ,Canada,Gulf of Saint Lawrence; North Atlantic Ocean, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view, , , ,"a1805510, coa18c, gen18b",0,0,0,0,0,0,0,0,0,0,0,0,0, , ,48.35,-64.66666667
3070,55840,Society Islands -- 55765,Papeete, ,PF PPT,French Polynesia,South Pacific Ocean, ,Sailing Directions Pub. 126 (Enroute) - Pacific Islands,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub126bk.pdf&type=view,83385, , ,"a0655830, coa06j, gen06e, h0655840",0,0,9.4,17.1,9.4,4.9,0,348,41,0,0,0,0,Small,Coastal (Natural),-17.533333,-149.583333
3071,49640,Burma (Myanmar) -- 49610,Bassein, ,MM BSX,Burma,Andaman Sea; Indian Ocean, ,Sailing Directions Pub. 173 (Enroute) - India and the Bay of Bengal,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub173bk.pdf&type=view,63350, , ,"a0349640, gen03a",2.3,0,6,7.9,13.7,0,0,143,0,6.4,0,0,0,Small,River (Natural),16.78333333,94.73333333
3072,48259,Oman -- 48225,Khawr Khasab, ,OM KHS,Oman,Strait of Hormuz; Indian Ocean, ,Sailing Directions Pub. 172 (Enroute) - Red Sea and the Persian Gulf,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub172bk.pdf&type=view,809125, , ,"coa10l, gen10a",1.7,0,0,13,4,0,0,0,0,0,0,0,0,Small,Coastal (Natural),26.216667,56.233333
3073,48520,Iran -- 48410,Bandar Abbas,Bandar-e Shahid Bahonar,IR BND,Iran,Strait of Hormuz; Indian Ocean, ,Sailing Directions Pub. 172 (Enroute) - Red Sea and the Persian Gulf,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub172bk.pdf&type=view,62394, , ,"a1048520, coa10l, gen10a, h1048520",3.7,240,13.5,20.1,17,13.5,0,366,48.2,14,0,0,0,Medium,Coastal (Breakwater),27.15,56.2
3074,49720,Andaman Islands -- 49710,Port Blair, ,IN IXZ,India,Andaman Sea; Indian Ocean, ,Sailing Directions Pub. 173 (Enroute) - India and the Bay of Bengal,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub173bk.pdf&type=view,63383, , ,"a0349720, coa03n, gen03a, h0349720",2.7,0,3.4,13,10,0,0,183.4,32.2,9,0,0,0,Small,Coastal (Natural),11.67777778,92.73333333
3075,49650,Burma (Myanmar) -- 49610,Rangoon, ,MM RGN,Burma,Andaman Sea; Indian Ocean, ,Sailing Directions Pub. 173 (Enroute) - India and the Bay of Bengal,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub173bk.pdf&type=view,63413, , ,"gen03a, h0349650",5.9,0,7.3,0,13,9,0,210.7,38,10,0,0,0,Small,River (Natural),16.766667,96.166667
3076,49660,Burma (Myanmar) -- 49610,Moulmein Harbor, , ,Burma,Andaman Sea; Indian Ocean, ,Sailing Directions Pub. 173 (Enroute) - India and the Bay of Bengal,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub173bk.pdf&type=view,63420, , ,"coa03p, gen03a, h0349660",0.6,0,1.8,6.4,4.9,0,0,72,18,3.6,0,0,0,Small,River (Natural),16.483333,97.616667
3077,48590,Pakistan -- 48580,Gwadar, ,PK GWD,Pakistan,Arabian Sea; Indian Ocean, ,Sailing Directions Pub. 172 (Enroute) - Red Sea and the Persian Gulf,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub172bk.pdf&type=view,62388, , ,"a1048590, coa10p, gen10a",1.7,206,14,15,14.5,0,0,189.9,0,10.2,0,0,0,Medium,Coastal (Natural),25.133333,62.3
3078,2555,Canada St Lawrence R -- 2545,Port de Valleyfield, , ,Canada,Lake Ontario; Great Lakes, ,Sailing Directions Pub. 145 (Enroute) - Nova Scotia and the Saint Lawrence,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub145bk.pdf&type=view,14195, , ,a1802550,0,0,0,0,0,0,0,0,0,0,0,0,0, , ,45.21666667,-74.1
3079,9540,Mexico East Coast -- 9350,Puerto Morelos, ,MXPMS,Mexico,Caribbean Sea; North Atlantic Ocean, ,Sailing Directions Pub. 148 (Enroute) - Caribbean Sea - Volume II,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub148bk.pdf&type=view, , , ,"coa15c, gen15, h1509540",0,0,0,8,0,0,0,0,0,4.9,0,0,0, , ,20.85,-86.88333333
3080,9510.1,Mexico East Coast -- 9350,Puerto Progreso, ,MXPGO,Mexico,Gulf of Mexico; North Atlantic Ocean, ,Sailing Directions Pub. 148 (Enroute) - Caribbean Sea - Volume II,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub148bk.pdf&type=view,"28210, 28220", , ,"coa15c, gen15, h1509510",0.4,0,20,6,0,0,0,273,37.3,9.8,0,0,0, , ,21.35,-89.68333333
3081,9548,Mexico East Coast -- 9350,Punta Venado, ,MXPVN,Mexico,Caribbean Sea; North Atlantic Ocean, ,Sailing Directions Pub. 148 (Enroute) - Caribbean Sea - Volume II,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub148bk.pdf&type=view,28190, , ,"coa15c, gen15",2.6,0,0,0,0,0,0,246.9,32.3,10,0,0,0, , ,20.56666667,-87.13333333
3082,9570,Mexico East Coast -- 9350,Puerto Costa Maya,Majahual,MXCOM,Mexico,Caribbean Sea; North Atlantic Ocean, ,Sailing Directions Pub. 148 (Enroute) - Caribbean Sea - Volume II,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub148bk.pdf&type=view,28190, , ,"coa15c, gen15",1.5,0,0,0,0,0,0,338.7,39.7,9.3,0,0,0, , ,18.73333333,-87.68333333
3083,9360,Mexico East Coast -- 9350,Tampico, ,MX TAM,Mexico,Gulf of Mexico; North Atlantic Ocean, ,Sailing Directions Pub. 148 (Enroute) - Caribbean Sea - Volume II,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub148bk.pdf&type=view,28320, , ,"a1509360, coa15c, gen15, h1509360",0.6,0,11,11,7.9,11,0,229.2,32.3,10.7,0,0,0,Medium,River (Natural),22.216667,-97.866667
3084,9500,Mexico East Coast -- 9350,Campeche, ,MX CPE,Mexico,Gulf of Mexico; North Atlantic Ocean, ,Sailing Directions Pub. 148 (Enroute) - Caribbean Sea - Volume II,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub148bk.pdf&type=view,28260, , ,"coa15c, gen15, h1509500",0.8,0,0,6,3.4,0,0,0,0,0,0,0,0,Small,Open Roadstead,19.85,-90.55
3085,9355,Mexico East Coast -- 9350,Altamira, ,MX ATM,Mexico,Gulf of Mexico; North Atlantic Ocean, ,Sailing Directions Pub. 148 (Enroute) - Caribbean Sea - Volume II,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub148bk.pdf&type=view,28320, , ,"a1509360, coa15c, gen15, h1509361",0.6,0,12.5,18,11,9.4,0,339.6,48.2,12.2,0,0,0,Very Small,River (Basins),22.483333,-97.85
3086,9440,Mexico East Coast -- 9350,Frontera,Alvaro Obregon,MX FRN,Mexico,Gulf of Mexico; North Atlantic Ocean, ,Sailing Directions Pub. 148 (Enroute) - Caribbean Sea - Volume II,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub148bk.pdf&type=view,28260, , ,"coa15c, gen15, h1509440",1.2,0,3.4,7,4.9,0,0,87.2,23,6.6,0,0,0,Very Small,River (Natural),18.533333,-92.65
3087,54565,Australia -- 53290,Cape Cuvier, ,AU CCU,Australia,Indian Ocean, ,Sailing Directions Pub. 175 (Enroute) - North West and South Coasts of Australia,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub175bk.pdf&type=view,"74530, 74535", , ,"coa04k, gen04b, h0454565",1,0,17.1,14,14,0,0,234,38,14,0,0,0,Very Small,Open Roadstead,-24.216667,113.383333
3088,54671,Australia -- 53290,Milner Bay, ,AU MIB,Australia,Gulf of Carpentaria; Arafura Sea; South Pacific Ocean, ,Sailing Directions Pub. 175 (Enroute) - North West and South Coasts of Australia,https://msi.geo.nga.mil/api/publications/download?key=16694491/SFH00000/Pub175bk.pdf&type=view,74384, , ,"coa05e, gen05a",2,0,23.2,17.1,12.5,0,0,225,32,12.5,0,0,0,Very Small,Open Roadstead,-13.866667,136.416667
